ELF code,Country ELF,Country,Country Global,Jurisdiction,Entity legal form local name,Language,Entity legal form transliterated name,Abbreviation,Source
106J,Belarus,Belarus,Global,,Закрытае акцыянернае таварыства,Belarusian,Zakrytae akcyyanernae tavarystva,ЗАТ,ELF v1.5
106J,Belarus,Belarus,Global,,Закрытае акцыянернае таварыства,Belarusian,Zakrytae akcyyanernae tavarystva,ZAT,ELF v1.5
106J,Belarus,Belarus,Global,,Закрытое акционерное общество,Russian,Zakrytoe akcionernoe obshchestvo,ЗАО,ELF v1.5
106J,Belarus,Belarus,Global,,Закрытое акционерное общество,Russian,Zakrytoe akcionernoe obshchestvo,ZAО,ELF v1.5
9X63,Belarus,Belarus,Global,,Унітарнае прадпрыемства,Belarusian,Unіtarnae pradpryemstva,УП,ELF v1.5
9X63,Belarus,Belarus,Global,,Унітарнае прадпрыемства,Belarusian,Unіtarnae pradpryemstva,UP,ELF v1.5
9X63,Belarus,Belarus,Global,,Унитарное предприятие,Russian,Unitarnoe predpriyatie,УП,ELF v1.5
9X63,Belarus,Belarus,Global,,Унитарное предприятие,Russian,Unitarnoe predpriyatie,UP,ELF v1.5
AABD,Belarus,Belarus,Global,,Таварыства з абмежаванай адказнасцю,Belarusian,Tavarystva z abmezhavanaj adkaznascyu,ТАА,ELF v1.5
AABD,Belarus,Belarus,Global,,Общество с ограниченной ответственностью,Russian,Obshchestvo s ogranichennoj otvetstvennost'yu,ООО,ELF v1.5
JLR3,Belarus,Belarus,Global,,Таварыства з дадатковай адказнасцю,Belarusian,Tavarystva z dadatkovaj adkaznascyu,ТДА,ELF v1.5
JLR3,Belarus,Belarus,Global,,Таварыства з дадатковай адказнасцю,Belarusian,Tavarystva z dadatkovaj adkaznascyu,ТDA,ELF v1.5
JLR3,Belarus,Belarus,Global,,Общество с дополнительной ответственностью,Russian,Obshchestvo s dopolnitel'noj otvetstvennost'yu,ОДО,ELF v1.5
JLR3,Belarus,Belarus,Global,,Общество с дополнительной ответственностью,Russian,Obshchestvo s dopolnitel'noj otvetstvennost'yu,ODO,ELF v1.5
MR85,Belarus,Belarus,Global,,Адкрытае акцыянернае таварыства,Belarusian,Adkrytae akcyyanernae tavarystva,ААТ,ELF v1.5
MR85,Belarus,Belarus,Global,,Адкрытае акцыянернае таварыства,Belarusian,Adkrytae akcyyanernae tavarystva,AAT,ELF v1.5
MR85,Belarus,Belarus,Global,,Открытое акционерное общество,Russian,Otkrytoe akcionernoe obshchestvo,ОАО,ELF v1.5
1TX8,Belgium,Belgium,Global,,Commanditaire vennootschap op aandelen met een sociaal oogmerk,Dutch,Commanditaire vennootschap op aandelen met een sociaal oogmerk,CVA SO,ELF v1.5
1TX8,Belgium,Belgium,Global,,Société en commandite par actions à finalité sociale,French,Société en commandite par actions à finalité sociale,SCA FS,ELF v1.5
1TX8,Belgium,Belgium,Global,,Kommanditgesellschaft auf Aktien mit sozialer Zielsetzung,German,Kommanditgesellschaft auf Aktien mit sozialer Zielsetzung,KGaAmsZ,ELF v1.5
28FE,Belgium,Belgium,Global,,Coöperatieve vennootschap,Dutch,Coöperatieve vennootschap,CV,ELF v1.5
28FE,Belgium,Belgium,Global,,Société coopérative,French,Société coopérative,SC,ELF v1.5
28FE,Belgium,Belgium,Global,,Genossenschaft,German,Genossenschaft,Gen.,ELF v1.5
2QSA,Belgium,Belgium,Global,,Coöperatieve vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk,Dutch,Coöperatieve vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk,CVBA SO,ELF v1.5
2QSA,Belgium,Belgium,Global,,Société coopérative à responsabilité limitée à finalité sociale,French,Société coopérative à responsabilité limitée à finalité sociale,SCRL FS,ELF v1.5
2QSA,Belgium,Belgium,Global,,Genossenschaft mit beschränkter Haftung mit sozialer Zielsetzung,German,Genossenschaft mit beschränkter Haftung mit sozialer Zielsetzung,GbHsZ,ELF v1.5
36KV,Belgium,Belgium,Global,,Europese vennootschap (Societas Europaea),Dutch,Europese vennootschap (Societas Europaea),SE,ELF v1.5
36KV,Belgium,Belgium,Global,,Société européenne (Societas Europaea),French,Société européenne (Societas Europaea),SE,ELF v1.5
36KV,Belgium,Belgium,Global,,Europäische Gesellschaft (Societas Europaea),German,Europäische Gesellschaft (Societas Europaea),SE,ELF v1.5
3N94,Belgium,Belgium,Global,,Onderneming-natuurlijk persoon,Dutch,Onderneming-natuurlijk persoon,ONP,ELF v1.5
3N94,Belgium,Belgium,Global,,Entreprise personne physique,French,Entreprise personne physique,EPP,ELF v1.5
3N94,Belgium,Belgium,Global,,Unternehmen natürliche Person,German,Unternehmen natürliche Person,UNP,ELF v1.5
3W7E,Belgium,Belgium,Global,,Besloten Vennootschap,Dutch,Besloten Vennootschap,BV,ELF v1.5
3W7E,Belgium,Belgium,Global,,Société à responsabilité limitée,French,Société à responsabilité limitée,SRL,ELF v1.5
3W7E,Belgium,Belgium,Global,,Gesellschaft mit beschränkter Haftung,German,Gesellschaft mit beschränkter Haftung,GmbH,ELF v1.5
4E5P,Belgium,Belgium,Global,,Coöperatieve vennootschap met onbeperkte aansprakelijkheid met een sociaal oogmerk,Dutch,Coöperatieve vennootschap met onbeperkte aansprakelijkheid met een sociaal oogmerk,CVOA SO,ELF v1.5
4E5P,Belgium,Belgium,Global,,Société coopérative à responsabilité illimitée à finalité sociale,French,Société coopérative à responsabilité illimitée à finalité sociale,SCRI FS,ELF v1.5
