Name,Name clean,GCAP ID,Website,LEI (if applicable),Country of HQ,UN Region,Parent company (if applicable),Annual Revenue in USD (if applicable),Type,Sector (if applicable),Assets Under Mgt. (if financial institution),Join Date (DD/MM/YYYY),Where did they publish in 2022?,Where did they publish in 2023?,Partner comment,Partner comment (Sep-24),Update round,Business Declares,Cities Race to Zero,Climate Action Accelerator,Exponential Roadmap Iniative,Fashion Industry Charter for Climate Action,Health Care without Harm,International Wineries for Climate Action (IWCA),Japan Climate Initiative (JCI),National Parks UK,Net Zero Asset Managers Initiative,Net Zero Banking Alliance,Net Zero Investment Consultants (NZIC),Net-Zero Asset Owner Alliance (NZAOA),Net-Zero Export Credit Agencies Alliance (NZECA),Paris Aligned Asset Owners (PAAO),Planet Mark,Pledge to Net Zero,Race to Zero for Universities and Colleges,SBTi,Scotch Whisky Association (SWA),SME Climate Hub,Sports for Climate Action Framework,Tech Zero,The Exchange Group - Net Zero Financial Services Providers Alliance Exchange Group (NZFSPA),Under 2 Coalition,Venture Climate Alliance (VCA),Partners
Carbon Dash,carbon dash,,https://carbondash.io,,Australia,Western European and Others Group (WEOG),,,Company,Sustainability services,,27/09/2023,Did not - joined less than 12 months ago,,,,Oct-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Carbon Intelligence,carbon intelligence,GCAP18819,carbon.ci,,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,29/05/2020,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Carbonbit Ltd,carbonbit,,https://carbonbit.com/,8556395,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,23/02/2023,,Did not - support needed,,,Sep-24,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,"SBTi, SME Climate Hub, SME Climate Hub"
CarbonBright,carbonbright,,https://carbonbright.co/,,United Kingdom,Western European and Others Group (WEOG),,,Company,Sustainability services,,06/06/2023,Did not - joined less than 12 months ago,,,,Oct-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
CarbonCompete,carboncompete,,http://carboncompete.com,,France,Western European and Others Group (WEOG),,,SME,Other,,17/10/2022,Did not - joined less than 12 months ago,,,,Mar-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Carbonds,carbonds,,http://carbonds.io,,France,Western European and Others Group (WEOG),,,SME,Services,,23/12/2022,Did not - joined less than 12 months ago,,,,Mar-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Carbonx Climate,carbonx climate,,https://carbonx.world/,,France,Western European and Others Group (WEOG),,,SME,Services,,23/11/2022,Did not - joined less than 12 months ago,,,,Mar-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Carbonyte,carbonyte,GCAP33295,https://carbonyte.io/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,08/05/2022,Did not - joined less than 12 months ago,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Carbotech AG,carbotech,,,,Switzerland,Western European and Others Group (WEOG),,,SME,Professional Services,,14/09/2023,,,NZ targets set,,Oct-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,SBTi
Carcaraña,carcarana,GCAP3972,,,Argentina,Latin American and Caribbean Group (GRULAC),,,City,,,-,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Cities Race to Zero
Cardano Holding Limited,cardano,GCAP20540,https://www.cardano.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,29th March 2021,CDP,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,"Net Zero Asset Managers Initiative, Net Zero Investment Consultants (NZIC)"
Cardiff Dragons Group Limited,cardiff dragons,,www.cardiffdragons.com,,United Kingdom,Western European and Others Group (WEOG),,<250M,Other,Sports,,22/11/2023,,,,,Apr-24,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Sports for Climate Action Framework
