GCAP ID,Name,Name clean,Website,"LEI 
(if applicable)",Country of HQ,UN Region,"Parent company 
(if applicable)","Annual Revenue in USD 
(if applicable)",Type,"Sector 
(if applicable)","Assets Under Mgt. 
(if financial institution)",Join Date (DD/MM/YYYY),Where did they publish in 2022?,Partner comment,Update round,On Data Explorer?,IWCA,Business Declares ,Fashion Charter,Health Care Without Harm,Net Zero Banking Alliance,Venture Climate Alliance,Paris Alligned Asset Owners,Planet Mark,Pledge to Net Zero,Sports for Climate Action Framework,Tech Zero,UN Convened Net-Zero Asset Owner Alliance,JCI RTZ Circle,Cities Race to Zero,Net Zero Asset Managers Initiative,Under 2 Coalition,Climate Action Accelerator,SBTi,Global Universities & Colleges,Exponential Roadmap Initiative,Scotch Whiskey Association,SME Climate Hub,Net Zero Investment Consultants Initiative,Net Zero Exchanges Group,(NZFSPA)Net Zero Financial Service Providers Alliance - Exchange Group,Net Zero Export Credit Agencies Alliance
,Uncommon Creative Studio Limited,uncommon creative studio,https://www.uncommon.london/info,417504413,United Kingdom,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,26/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Boutique de Negocios Responsables,boutique negocios responsables,http://www.bnr.com.mx/,,Mexico,Latin American and Caribbean Group (GRULAC),,,SME,Business activities - Consultancy legal accounting etc,,25/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,"Esfera Impact, LLC",esfera impact,https://esferaimpact.com/,,United States of America,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,25/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,H&M Recycling Ltd,h&m recycling,http://handmrecycling.co.uk,19/5/37462,United Kingdom,Western European and Others Group (WEOG),,,SME,Other commercial service activities,,25/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,AM Recruitment and Training,am recruitment training,http://www.amrecruitmentltd.com,20/2/26359,United Kingdom,Western European and Others Group (WEOG),,,SME,Other commercial service activities,,25/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Ridge Pharma,ridge pharma,https://www.ridge-pharma.com/,267 6355 69,United Kingdom,Western European and Others Group (WEOG),,,SME,Pharmaceuticals,,25/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Richnex Skin Science Laboratory Pvt Limited,richnex skin science laboratory,https://www.instagram.com/richnex.in/,,India,Asia-Pacific Group,,,SME,Health care and services,,25/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,SJ Creative Partners,sj creative partners,http://www.sjcreativepartners.com,427 0284 11,United Kingdom,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,25/01/2024,SME Climate Hub,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Sustain Video,sustain video,https://www.sustainvideo.com/,20/6/37718,United Kingdom,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,25/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Wattrus Group Ltd,wattrus,http://www.wattrus.com,558 6033 26,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing - Other,,24/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Byte Digital,byte digital,http://bytedigital.io,30/1/17354,United Kingdom,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,24/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,SAMIROCK,samirock,https://www.samirock.com/,,Saudi Arabia,Asia-Pacific Group,,,SME,Construction and civil engineering,,24/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Lottus Energy,lottus energy,https://lottusenergy.com/,12/3/43912,Nigeria,African Group,,,SME,Energy and utilities,,24/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Global Action Plan Ireland,global action plan ireland,https://www.globalactionplan.ie,8/7/2849,Ireland,Western European and Others Group (WEOG),,,SME,Non-governmental organization,,24/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Water Supply Services,water supply services,no_website,nit,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,24/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,HEI-Power Solar Ltd.,hei-power solar,https://www.linkedin.com/company/hei-power-solar-ltd/?viewAsMember=true,,Canada,Western European and Others Group (WEOG),,,SME,Energy and utilities,,24/01/2024,SME Climate Hub,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Cheshire Botanicals,cheshire botanicals,http://cheshirebotanicals.co.uk,GB196793343,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,23/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Klozers,klozers,https://www.klozers.com,178654363,United Kingdom,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,23/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Good 4 Business,good 4,https://www.good4business.au/,137106195,Australia,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,23/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Klick Technology,klick technology,http://www.klicktechnology.co.uk,306831275,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,23/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,The Lane Agency,the lane agency,https://www.thelaneagency.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,23/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Safeway B&P,safeway b&p,no_website,,United States of America,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,23/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,ChockpanidapanyaD,chockpanidapanyad,no_website,,Thailand,Asia-Pacific Group,,,SME,Transport and logistics,,22/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Cooper Darwin Consultants,cooper darwin consultants,http://www.cooperdarwin.com,10/4/35555,United Kingdom,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,22/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Putney Pantry limited,putney pantry,http://www.putneypantry.com,4/3/27382,United Kingdom,Western European and Others Group (WEOG),,,SME,Tourism and hospitality,,22/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,WEO,weo,http://www.weo-water.com,LU32878418,Luxembourg,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,22/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,HR Revolution,hr revolution,http://www.hrrevolution.co.uk,104889302,United Kingdom,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,22/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Global Spiced BV,global spiced,https://wearespiced.com/,NL856204493B01,Netherlands,Western European and Others Group (WEOG),,,SME,Manufacturing - Food and beverages,,21/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Climate Action for Associations,climate action for associations,http://www.climateactionforassociations.org,18/1/17512,United Kingdom,Western European and Others Group (WEOG),,,SME,Membership organizations,,20/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,ribbit consulting,ribbit consulting,https://www.linkedin.com/in/antonybream/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,20/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,METALpack,metalpack,http://www.metalpack.pt,PT516170163,Portugal,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,20/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Planeter Energy,planeter energy,https://www.planeter.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Energy and utilities,,20/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Go Green Experts Ltd,go green experts,http://gogreenexperts.co.uk,10/5/35609,United Kingdom,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,19/01/2024,SME Climate Hub,,Apr-24,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,
,Kapiary,kapiary,no_website,,Jamaica,Latin American and Caribbean Group (GRULAC),,,SME,Land use - Agriculture forestry and fishing,,19/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,First Formación,first formación,https://firstformacion.es,,Spain,Western European and Others Group (WEOG),,,SME,Education and research,,19/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Blitz Personnel,blitz personnel,http://www.blitzpersonnel.com,739333698,Canada,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,19/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,4Merit,4merit,http://www.4merit.co.uk,5/1/39079,United Kingdom,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,19/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Interior Motives International ltd,interior motives,http://www.motives.co.uk,14/12/9080,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,18/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Maltby Land Surveys Ltd,maltby land surveys,http://www.maltbysurveys.com,31/8/12865,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,18/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Nuclear Industry Association,nuclear industry,https://www.niauk.org/,4/7/9578,United Kingdom,Western European and Others Group (WEOG),,,SME,Energy and utilities,,18/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,MAPS SUSTAINABLE PROJECTS,maps sustainable projects,http://www.maps.eco.br,,Brazil,Latin American and Caribbean Group (GRULAC),,,SME,Other,,17/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Eco-Business,eco-business,http://www.eco-business.com,201023133N,Singapore,Asia-Pacific Group,,,SME,Consultancy services other than legal,,17/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Communicate SLT CIC,communicate slt,https://communicate-slt.org.uk/,20/6/24893,United Kingdom,Western European and Others Group (WEOG),,,SME,Education and research,,17/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Ensoul,ensoul,https://ensoul.it,IT02803110309,Italy,Western European and Others Group (WEOG),,,SME,Information technology,,17/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Lanarkshire Enterprise Services Ltd,lanarkshire services,https://lesl.org/,SC105922,United Kingdom,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,17/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Rooftop Republic Urban Farming,rooftop republic urban farming,https://rooftoprepublic.com/,64403008,China,Asia-Pacific Group,,,SME,Real estate activities,,17/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,The Cotswold Bed Company Limited,the cotswold bed,http://www.thecotswoldbedcompany.com,217837686,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing - Consumer goods,,17/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,M&H GROUP,m&h,http://myhgroup.com/,20501881750,Peru,Latin American and Caribbean Group (GRULAC),,,SME,Machinery and equipment rental,,17/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Store Performance Ltd,store performance,https://store-performance.com/,29/6/32914,United Kingdom,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,16/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Constructionarium Ltd,constructionarium,https://www.constructionarium.uk,22/9/16778,United Kingdom,Western European and Others Group (WEOG),,,SME,Education and research,,16/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Llandeilo Business forum,llandeilo forum,https://Llandeilo.business,,United Kingdom,Western European and Others Group (WEOG),,,SME,Non-governmental organization,,16/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Cottam Brush Ltd,cottam brush,http://www.cottambrush.com,GB175988202,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing - Other,,16/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Mama Rita Trading LLC,mama rita trading,http://www.mamarita.com,104085122000003,United Arab Emirates,Asia-Pacific Group,,,SME,Manufacturing - Food and beverages,,16/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,AA Dispatch Uk LTD,aa dispatch uk,http://aadispatchukltd.co.uk/,13/2/19451,United Kingdom,Western European and Others Group (WEOG),,,SME,Transport and logistics,,15/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,ABsolute LEak Detection LTD,absolute leak detection,http://www.absoluteleakdetection.co.uk,275960072,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,15/01/2024,SME Climate Hub,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Green Initiative International,green initiative,http://www.greeninitiative.eco,45.783.046/0001-62,Brazil,Latin American and Caribbean Group (GRULAC),,,SME,Business activities - Consultancy legal accounting etc,,15/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,PipeFlow Drainage Solutions Ltd,pipeflow drainage solutions,http://www.pipeflowdrainage.co.uk,393786634,United Kingdom,Western European and Others Group (WEOG),,,SME,Other commercial service activities,,15/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,SAHP - Solar Assisted Heat Pumps,sahp solar assisted heat pumps,http://www.sahp.info,22/11/34226,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing - Other,,15/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Foodpro,foodpro,https://foodpro.co.uk/,GB 693 4730 08,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing - Food and beverages,,15/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Bishop Sullivan,bishop sullivan,https://bishopsullivan.co.uk/,222784704,United Kingdom,Western European and Others Group (WEOG),,,SME,Real estate activities,,15/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Kuradzo Ingeniería Ambiental SC,kuradzo ingeniería ambiental sc,http://kuradzo.com,KIA140410S44,Mexico,Latin American and Caribbean Group (GRULAC),,,SME,Consultancy services other than legal,,15/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Scallywags Medway Ltd,scallywags medway,http://www.scallywagsmedway.co.uk,21/12/23756,United Kingdom,Western European and Others Group (WEOG),,,SME,Education and research,,15/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,AUEB,aueb,no_website,25/4/35701,Greece,Western European and Others Group (WEOG),,,SME,Education and research,,15/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Forepoint Ltd,forepoint,http://forepoint.co.uk,14/8/9396,United Kingdom,Western European and Others Group (WEOG),,,SME,Other commercial service activities,,15/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Memorandum Ltd,memorandum,http://www.memorandum.co.uk,691611628,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,15/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Pesterminators Pvt Ltd,pesterminators,http://www.pesterminators.com.mv,C-0051/2015,Maldives,Asia-Pacific Group,,,SME,Other commercial service activities,,15/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Altilium Consulting LLP,altilium consulting,http://www.altilium.eco,07ABNFA5694G1Z1,India,Asia-Pacific Group,,,SME,Energy and utilities,,14/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,BCB INTERNATIONAL LTD,bcb,http://www.bcbin.com,GB108299108,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing - Other,,14/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Solvatten,solvatten,http://solvatten.org,556706-7318,Sweden,Western European and Others Group (WEOG),,,SME,Energy and utilities,,14/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Price & Myers,price myers,http://pricemyers.com,OC303989,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,14/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Talik and Company Ltd,talik,http://www.talikandco.net,10/11/23048,United Kingdom,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,14/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Performance Engineered Solutions (PES) Ltd,performance engineered solutions (pes),https://pes-performance.com/,14/12/22504,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing - Other,,13/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,W H THOMAS & SON,w h thomas son,http://www.w-h-thomasandson.co.uk,275230077,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,13/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Tk Contractors,tk contractors,no_website,Company number 07911185,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,13/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Law Office of Lara Pearson Ltd PBC dba Brand Geek,office of lara pearson brand geek,no_website,01-0722860,United States of America,Western European and Others Group (WEOG),,,SME,Legal services,,13/01/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Drainserv Ltd,drainserv,http://www.drainserv.cymru,434983759,United Kingdom,Western European and Others Group (WEOG),,,SME,Energy and utilities,,1/12/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Maya Mountains Distillery,maya mountains distillery,http://mayamountainsdistillery.com,,Belize,Latin American and Caribbean Group (GRULAC),,,SME,Manufacturing - Food and beverages,,1/12/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Big Mak Publications Ltd ta Bodystreet MK Station,big mak publications ta bodystreet mk station,no_website,1/8/33504,United Kingdom,Western European and Others Group (WEOG),,,SME,Repair household goods,,1/12/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,onestone,onestone,no_website,911842659,Iceland,Western European and Others Group (WEOG),,,SME,Paper and paper products manufacturing,,1/12/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Templec Services Ltd,templec services,http://www.templec.com,29/11/9961,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,1/12/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,ClimateTech Engineering Ltd.,climatetech engineering,http://www.ClimateTechEngineering.com,9/12/43724,United Kingdom,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,1/12/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,"Samding Craftwork Co.,Ltd.",samding craftwork,http://www.samding.net,441900769346174,China,Asia-Pacific Group,,,SME,Manufacturing - Other,,1/12/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Pan Galactic Developments Ltd.,pan galactic developments,https://www.pangalactic.io,15/11/40023,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology,,1/11/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Farleys House & Gallery Ltd,farleys house gallery,http://www.farleyshouseandgallery.co.uk,GB315507969,United Kingdom,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,1/11/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Swift Strategies,swift strategies,http://www.swiftstrategies.co.uk,13/10/20030,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology,,1/11/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,FEX POWER SYSTEM ENGINEERING,fex power system engineering,no_website,RUM26575AA02,Nigeria,African Group,,,SME,Energy,,1/11/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,EDIX,edix,https://www.edixtech.com/,,Egypt,African Group,,,SME,Education and research,,1/11/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Britplas Fabrications Limited,britplas fabrications,http://www.britplas.com,674623026,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,1/11/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Louis Bullock,louis bullock,https://louisbullock.com.au,26/7/2089,Australia,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,1/11/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,FSG Tableware Ltd,fsg tableware,http://www.fsg.uk.com,976 8299 41,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,1/11/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,"SHENZHEN MINGHE PAPER PRODUCTS CO., LTD",shenzhen minghe paper products,http://www.mhpaperbag.com,"SHENZHEN MINGHE PAPER PRODUCTS CO., LTD",China,Asia-Pacific Group,,,SME,Business activities - Consultancy legal accounting etc,,1/11/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Velo-City Deliveries,velo-city deliveries,https://www.velo-citydeliveries.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Transport and logistics,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Brand Enterprise,brand,https://www.facebook.com/people/Bismark-Asamoah-Asante/100063487932807/,,Ghana,African Group,,,SME,Manufacturing - Consumer goods,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Flas Entertainment S.L.,flas entertainment,https://www.gametopiastudios.com/,B83524702,Spain,Western European and Others Group (WEOG),,,SME,Information technology,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Hy-Energie FZC,hy-energie fzc,http://www.hy-energie.com,,United Arab Emirates,Asia-Pacific Group,,,SME,Electricity transmission,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,The Big Group,the big,http://www.biggroup.co.uk,18/12/8801,United Kingdom,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,The Hyphen Group,the hyphen,no_website,243 5900 16,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Sapphiratech,sapphiratech,http://www.sapphiratech.com,20/4/26620,United Kingdom,Western European and Others Group (WEOG),,,SME,Business activities - Consultancy legal accounting etc,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP32870,The Lekker Company,the lekker,https://www.thelekkercompany.com,NL858594675B01,Netherlands,Western European and Others Group (WEOG),,,SME,Pharmaceutical products manufacturing,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Heim24h,heim24h,http://www.heim24h.de,DE256201476,Germany,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,J P W Osprey Ltd,j p w osprey,http://jpwosprey.com,J P W Osprey Ltd,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,1/10/2024,Did not - joined less than 12 months ago,,Apr-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
