GCAP ID,Name,Name clean,Website,"LEI 
(if applicable)",Country of HQ,UN Region,"Parent company 
(if applicable)","Annual Revenue in USD 
(if applicable)",Type,"Sector 
(if applicable)","Assets Under Mgt. 
(if financial institution)",Join Date (DD/MM/YYYY),Where did they publish in 2022?,Partner comment,Update round,On Data Explorer?,IWCA,Business Declares ,Fashion Charter,Health Care Without Harm,Net Zero Banking Alliance,Venture Climate Alliance,Paris Alligned Asset Owners,Planet Mark,Pledge to Net Zero,Sports for Climate Action Framework,Tech Zero,UN Convened Net-Zero Asset Owner Alliance,JCI RTZ Circle,Cities Race to Zero,Net Zero Asset Managers Initiative,Under 2 Coalition,Climate Action Accelerator,SBTi,Global Universities & Colleges,Exponential Roadmap Initiative,Scotch Whiskey Association,SME Climate Hub,Net Zero Investment Consultants Initiative,Net Zero Exchanges Group,(NZFSPA)Net Zero Financial Service Providers Alliance - Exchange Group,Net Zero Export Credit Agencies Alliance
,AMES Group Sintering S.A,ames sintering,https://ames-sintering.com/,959800F5CUXZ6R73VD98,Spain,Western European and Others Group (WEOG),,,Company,Automobiles and Components,,25/5/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,An Abundance Limited,an abundance,http://www.departmentofchange.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,20/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Greendeal,greendeal,http://www.greendeal.pe,,Peru,Latin American and Caribbean Group (GRULAC),,,SME,Plastic and rubber products manufacturing,,07/07/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Analogue & Micro Ltd,analogue micro,http://www.analogue-micro.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other manufacturing,,09/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Anchorpoint Group Ltd,anchorpoint,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,14/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Anderson and DuBose Inc,anderson dubose,https://a-d.us/,,United States of America,Western European and Others Group (WEOG),,,SME,Ground Transportation - Trucking Transportation,,1/6/2023,,Targets set,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Anetic Aid Ltd,anetic aid,https://aneticaid.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Medical equipment manufacturing,,05/07/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Anglia Cleaning Services Ltd,anglia cleaning services,http://www.angliacleaningservices.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,06/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Anne Sisteron Fine Jewelry,anne sisteron fine jewelry,,,United States of America,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,05/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,"Anthony & Sons Italian Bakery, Inc",anthony sons italian bakery,http://anthonyandsonsbakery.com,,United States of America,Western European and Others Group (WEOG),,,SME,Other manufacturing,,04/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,"Anudal Industrial, slu",anudal industrial,http://www.anudal.com,,Spain,Western European and Others Group (WEOG),,,SME,Metal products manufacturing,,30/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Applecross Solutions Ltd,applecross solutions,http://Www.Applecross-solutions.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Building services,,28/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,AqsaFarm,aqsafarm,,,Indonesia,Asia-Pacific Group,,,SME,Education,,09/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,aquatic engineering ltd,aquatic engineering,http://www.aquaticengineering.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,12/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,ARaymond India Private Ltd.,araymond india,,,India,Asia-Pacific Group,,,SME,Other manufacturing,,12/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Arbevel,arbevel,,,France,Western European and Others Group (WEOG),,,Financial Institution,,230000000,03/04/2023,,,Jul-23,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
GCAP22452,Arco,arco,https://www.arco.co.uk,213800Q3OE4NYSM3V954,United Kingdom,Western European and Others Group (WEOG),,,Company,"Trading Companies and Distributors, and Commercial Services and Supplies",,25/5/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Arlee Home Fashions,arlee home fashions,,,United States of America,Western European and Others Group (WEOG),,,SME,Textile manufacturing,,05/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,ARMADURAS DE LAS SIERRAS,armaduras las sierras,,,Argentina,Latin American and Caribbean Group (GRULAC),,,SME,Building services,,31/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,ArmHug,armhug,http://ArmHug.com,,United States of America,Western European and Others Group (WEOG),,,SME,Pharmaceutical products manufacturing,,06/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Aromas y Sabores Técnicos S.A,aromas sabores técnicos,https://astek.cr/,,Costa Rica,Latin American and Caribbean Group (GRULAC),,,SME,Research and development,,19/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Artificial Recognition Technology LLC,artificial recognition technology,https://artech.om/,,Oman,Asia-Pacific Group,,,SME,Telecommunication,,28/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Artwell Holdings Ltd,artwell,https://www.artwell-hk.com,,China,Asia-Pacific Group,,,Company,"Textiles, Apparel, Footwear and Luxury Goods",,30/3/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Arunava Mukherjee,arunava mukherjee,,,India,Asia-Pacific Group,,,SME,Information technology (IT) software and computer related activities,,25/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Aberdeen Football Club,aberdeen football club,www.afc.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,Company,No sector specified ,,30/05/2022,Other,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
,Ashland Inc.,ashland,,,United States of America,Western European and Others Group (WEOG),,,Company,,,28/01/2021,,,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Asian Society for Quality Research (ASQR Services),asian for quality research (asqr services),,,India,Asia-Pacific Group,,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,03/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Askham Bryan College,askham bryan college,www.askham-bryan.ac.uk,,United Kingdom,Western European and Others Group (WEOG),,,Higher Education,,,19/07/2023,Did not - joined less than 12 months ago,,Jul-23,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
